archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
security	security	1	4	0	4	0.000000
security	security	1	0	0	0	n/a
correctness	correctness	1	1	1	0	1.000000
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	1	0	0	0.000000
testing	risk-integration	1	1	1	0	1.000000
dyn-bash-portability	code-quality	1	0	0	0	n/a
dyn-bash-portability-codex	code-quality	1	0	0	0	n/a
dyn-cli-contracts	risk-integration	1	2	2	0	1.000000
dyn-cli-contracts-codex	risk-integration	1	0	0	0	n/a
dyn-harness-wiring	risk-integration	1	1	1	0	1.000000
dyn-harness-wiring-codex	risk-integration	1	0	0	0	n/a
dyn-skill-prose	architecture	1	3	2	0	0.666667
dyn-skill-prose-codex	architecture	1	0	0	0	n/a
