archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	6	6	0	1.000000
correctness	correctness	1	6	6	0	1.000000
edge-cases	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	5	5	0	1.000000
testing	risk-integration	1	5	4	1	0.800000
testing	risk-integration	1	3	3	0	1.000000
dyn-ci-delegate	risk-integration	1	4	4	0	1.000000
dyn-ci-delegate-codex	risk-integration	1	0	0	0	n/a
dyn-conflict-loop	correctness	1	1	1	0	1.000000
dyn-conflict-loop-codex	correctness	1	0	0	0	n/a
dyn-lint-claude	security	1	4	1	3	0.250000
dyn-lint-claude-codex	security	1	0	0	0	n/a
