cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-expected-total-trace	Cursor-dyn-expected-total-trace
dyn-codex-plan-expected-total-trace	Codex-dyn-expected-total-trace
dyn-cursor-plan-regression-guard-and-style	Cursor-dyn-regression-guard-and-style
dyn-codex-plan-regression-guard-and-style	Codex-dyn-regression-guard-and-style
