round	tool	slot	label	accepted_count	rejected_count	total_count
1	cursor	correctness	cursor-specialist-correctness-output.txt	3	2	6
1	codex	correctness	codex-specialist-correctness-output.txt	2	0	2
1	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	2	1	3
1	codex	edge-cases	codex-specialist-edge-cases-output.txt	1	0	1
1	cursor	testing	cursor-specialist-testing-output.txt	2	0	3
1	codex	testing	codex-specialist-testing-output.txt	1	0	2
1	cursor	dyn-hook-streams	dyn-hook-streams-output.txt	0	1	2
1	codex	dyn-hook-streams-codex	dyn-hook-streams-codex-output.txt	0	0	0
1	cursor	dyn-residual-scope	dyn-residual-scope-output.txt	4	1	5
1	codex	dyn-residual-scope-codex	dyn-residual-scope-codex-output.txt	0	0	0
1	cursor	dyn-retirement-cleanup	dyn-retirement-cleanup-output.txt	2	1	4
1	codex	dyn-retirement-cleanup-codex	dyn-retirement-cleanup-codex-output.txt	0	0	0
2	cursor	correctness	cursor-specialist-correctness-output.txt	1	5	7
2	cursor	edge-cases	cursor-specialist-edge-cases-output.txt	1	4	5
2	cursor	testing	cursor-specialist-testing-output.txt	1	3	5
2	codex	codex-generic	codex-generic-output.txt	0	1	1
2	cursor	dyn-hook-streams	dyn-hook-streams-output.txt	1	2	4
2	cursor	dyn-residual-scope	dyn-residual-scope-output.txt	0	6	7
2	cursor	dyn-retirement-cleanup	dyn-retirement-cleanup-output.txt	1	1	4
3	codex	codex-generic	codex-generic-output.txt	0	1	1
3	cursor	dyn-retirement-cleanup	dyn-retirement-cleanup-output.txt	1	5	7
