cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
codex-plan-generic	Codex-Generic
dyn-cursor-plan-prompt-contract-conservation	Cursor-dyn-Prompt Contract Conservation
dyn-codex-plan-prompt-contract-conservation	Codex-dyn-Prompt Contract Conservation
