archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	1	1	0	1.000000
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	1	0	1	0.000000
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
dyn-stall-recovery	correctness	1	2	2	0	1.000000
dyn-stall-recovery-codex	correctness	1	0	0	0	n/a
dyn-scout-normalize	risk-integration	1	0	0	0	n/a
dyn-scout-normalize-codex	risk-integration	1	0	0	0	n/a
