archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	6	1	0	0.166667
correctness	correctness	1	4	1	0	0.250000
testing	risk-integration	1	6	3	0	0.500000
security	security	1	5	2	0	0.400000
edge-cases	correctness	1	6	1	0	0.166667
plan-fidelity	architecture	1	4	1	0	0.250000
dyn-fd-contract	code-quality	2	2	0	0	0.000000
dyn-bash32-compat	correctness	2	0	0	0	n/a
dyn-redaction-coverage	security	2	4	3	0	0.750000
dyn-hook-blast-radius	risk-integration	1	2	1	0	0.500000
