archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	4	3	1	0.750000
correctness	correctness	1	3	3	0	1.000000
edge-cases	correctness	1	5	3	1	0.600000
edge-cases	correctness	1	3	3	0	1.000000
testing	risk-integration	1	3	1	1	0.333333
testing	risk-integration	1	1	1	0	1.000000
dyn-dyn-ledger-roundtrip	correctness	1	3	2	1	0.666667
dyn-dyn-ledger-roundtrip-codex	correctness	1	0	0	0	n/a
dyn-dyn-prompt-safety	risk-integration	1	5	3	1	0.600000
dyn-dyn-prompt-safety-codex	risk-integration	1	0	0	0	n/a
