cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-stream-parity	Cursor-dyn-stream-parity
dyn-codex-plan-stream-parity	Codex-dyn-stream-parity
dyn-cursor-plan-consumer-sweep	Cursor-dyn-consumer-sweep
dyn-codex-plan-consumer-sweep	Codex-dyn-consumer-sweep
