archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	4	2	0	0.500000
correctness	correctness	1	3	3	0	1.000000
testing	risk-integration	1	6	6	0	1.000000
security	security	1	0	0	0	n/a
edge-cases	correctness	1	4	3	0	0.750000
plan-fidelity	architecture	1	3	3	0	1.000000
dyn-telemetry	architecture	1	2	2	0	1.000000
dyn-bash32	code-quality	1	4	2	0	0.500000
dyn-handoff	risk-integration	1	2	2	0	1.000000
dyn-jsonawk	correctness	1	2	1	0	0.500000
dyn-publish	risk-integration	1	3	3	0	1.000000
