archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	0	0	0	n/a
correctness	correctness	1	0	0	0	n/a
testing	risk-integration	1	3	3	0	1.000000
security	security	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
plan-fidelity	architecture	1	2	1	1	0.500000
dyn-shell-git	correctness	1	0	0	0	n/a
dyn-pause-lifecycle	risk-integration	1	0	0	0	n/a
dyn-ship-resume	architecture	1	2	1	1	0.500000
dyn-state-validation	security	1	0	0	0	n/a
dyn-contract-sync	risk-integration	1	1	1	0	1.000000
