archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	1	1	0	1.000000
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	1	0	0	0.000000
dyn-wrapper-parity	correctness	1	0	0	0	n/a
dyn-wrapper-parity-codex	correctness	1	0	0	0	n/a
dyn-safety-net-ledger	risk-integration	1	2	1	1	0.500000
dyn-safety-net-ledger-codex	risk-integration	1	0	0	0	n/a
