cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-caller-sweep	Cursor-dyn-caller-sweep
dyn-codex-plan-caller-sweep	Codex-dyn-caller-sweep
dyn-cursor-plan-compatibility-boundary	Cursor-dyn-compatibility-boundary
dyn-codex-plan-compatibility-boundary	Codex-dyn-compatibility-boundary
dyn-cursor-plan-metadata-schema-parity	Cursor-dyn-metadata-schema-parity
dyn-codex-plan-metadata-schema-parity	Codex-dyn-metadata-schema-parity
