path	tier	bytes	tokens	lines	h2_count
AGENTS.md	tier-1a-claude-import	9962	2305	77	8
BASH_AUTHORING.md	tier-1a-claude-import	2077	485	32	2
KARPATHY_CLAUDE.md	tier-1a-claude-import	2366	536	65	4
CLAUDE.md	tier-1a-claude-root	50	21	3	0
.claude/skills/agnix-fix/SKILL.md	tier-1b-dev-skill	9864	2593	154	1
.claude/skills/analyze-issues/SKILL.md	tier-1b-dev-skill	2871	659	49	4
.claude/skills/bump-version/SKILL.md	tier-1b-dev-skill	8556	2033	92	6
.claude/skills/combine-issues/SKILL.md	tier-1b-dev-skill	3750	851	63	2
.claude/skills/release/SKILL.md	tier-1b-dev-skill	1682	399	30	1
.claude/skills/relevant-checks/SKILL.md	tier-1b-dev-skill	9644	2213	75	6
skills/alias/SKILL.md	tier-1b-runtime-skill	16986	4193	203	1
skills/block-issue/SKILL.md	tier-1b-runtime-skill	1370	333	27	1
skills/cleanup/SKILL.md	tier-1b-runtime-skill	1214	276	25	2
skills/compress-skill/SKILL.md	tier-1b-runtime-skill	6955	1596	64	2
skills/create-skill/SKILL.md	tier-1b-runtime-skill	20359	4926	191	6
skills/design/SKILL.md	tier-1b-runtime-skill	89655	22261	872	6
skills/fix-issue/SKILL.md	tier-1b-runtime-skill	65940	16270	365	6
skills/im/SKILL.md	tier-1b-runtime-skill	879	211	26	3
skills/imaq/SKILL.md	tier-1b-runtime-skill	953	230	26	3
skills/implement/SKILL.md	tier-1b-runtime-skill	227896	58164	1956	12
skills/imq/SKILL.md	tier-1b-runtime-skill	921	222	26	3
skills/issue/SKILL.md	tier-1b-runtime-skill	63882	16588	551	4
skills/report-tokens/SKILL.md	tier-1b-runtime-skill	2455	588	36	2
skills/research/SKILL.md	tier-1b-runtime-skill	33328	8200	401	7
skills/review-and-fix/SKILL.md	tier-1b-runtime-skill	2719	666	34	0
skills/review/SKILL.md	tier-1b-runtime-skill	11723	2952	60	6
skills/set-up-forked-open-source-repo/SKILL.md	tier-1b-runtime-skill	5452	1286	97	5
skills/show-skill/SKILL.md	tier-1b-runtime-skill	1414	363	33	2
skills/simplify-skill/SKILL.md	tier-1b-runtime-skill	5146	1201	51	1
skills/skill-evolver/SKILL.md	tier-1b-runtime-skill	13704	3294	124	4
skills/test-issue/SKILL.md	tier-1b-runtime-skill	462	114	18	1
skills/umbrella/SKILL.md	tier-1b-runtime-skill	57538	14810	335	5
skills/upgrade-larch/SKILL.md	tier-1b-runtime-skill	1799	407	27	2
.claude/rules/drift-prone-prose-in-docs.md	tier-1c-claude-rule	1356	358	27	0
.claude/rules/external-tool-launcher-parity.md	tier-1c-claude-rule	1840	443	25	0
.claude/rules/launcher-argv-test-coverage.md	tier-1c-claude-rule	2266	571	37	0
.claude/rules/markdown-no-space-in-code-span.md	tier-1c-claude-rule	1531	353	34	0
.claude/rules/no-direct-submodule-edits.md	tier-1c-claude-rule	978	233	22	0
.claude/rules/research-readonly-hook-coupling.md	tier-1c-claude-rule	1967	488	37	0
.claude/rules/reviewer-archetype-generation.md	tier-1c-claude-rule	1341	333	29	0
.claude/rules/script-md-siblings.md	tier-1c-claude-rule	1871	476	38	0
.claude/rules/shell-strict-mode.md	tier-1c-claude-rule	234	61	7	0
.claude/rules/skill-editing-trace.md	tier-1c-claude-rule	569	168	12	0
.claude/rules/skill-md-description-trigger.md	tier-1c-claude-rule	682	171	18	0
.claude/rules/skill-runtime-root-paths.md	tier-1c-claude-rule	210	65	7	0
.claude/rules/timing-task-kind-allowlist.md	tier-1c-claude-rule	1561	405	28	0
.claude/rules/topology-generation.md	tier-1c-claude-rule	1041	260	27	0
.claude/rules/verify-external-tool-invocations.md	tier-1c-claude-rule	1369	308	17	0
.claude/rules/version-bump-reserved-message.md	tier-1c-claude-rule	226	56	7	0
scripts/agent-model-args.md	tier-2-script-doc	2123	496	33	6
scripts/append-execution-issue.md	tier-2-script-doc	2551	583	52	5
