archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	7	4	0	0.571429
correctness	correctness	1	4	4	0	1.000000
testing	risk-integration	1	8	8	0	1.000000
security	security	1	6	1	0	0.166667
edge-cases	correctness	1	6	3	0	0.500000
plan-fidelity	architecture	1	1	1	0	1.000000
dyn-cursor-write-last	correctness	1	1	1	0	1.000000
dyn-breadcrumb-pair-contract	risk-integration	1	4	4	0	1.000000
dyn-tally-bash32	correctness	1	2	2	0	1.000000
dyn-timing-kind-allowlist	risk-integration	1	3	3	0	1.000000
