cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-oos-gate-auditor	Cursor-dyn-oos-gate-auditor
dyn-codex-plan-oos-gate-auditor	Codex-dyn-oos-gate-auditor
dyn-cursor-plan-finalize-runlog-auditor	Cursor-dyn-finalize-runlog-auditor
dyn-codex-plan-finalize-runlog-auditor	Codex-dyn-finalize-runlog-auditor
dyn-cursor-plan-migration-surface-sweeper	Cursor-dyn-migration-surface-sweeper
dyn-codex-plan-migration-surface-sweeper	Codex-dyn-migration-surface-sweeper
