archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	0	0	0	n/a
correctness	correctness	1	1	1	0	1.000000
testing	risk-integration	1	1	1	0	1.000000
security	security	1	4	1	1	0.250000
edge-cases	correctness	1	0	0	0	n/a
plan-fidelity	architecture	1	0	0	0	n/a
dyn-shell-flow	correctness	1	2	1	0	0.500000
dyn-publish-state	risk-integration	1	0	0	0	n/a
dyn-contract-drift	architecture	1	1	0	0	0.000000
dyn-pause-publish	risk-integration	1	1	0	0	0.000000
dyn-redaction-path	security	1	2	2	0	1.000000
