archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	3	2	0	0.666667
correctness	correctness	1	1	1	0	1.000000
testing	risk-integration	1	5	4	0	0.800000
security	security	1	0	0	0	n/a
edge-cases	correctness	1	1	1	0	1.000000
plan-fidelity	architecture	1	0	0	0	n/a
dyn-bash-portability	correctness	1	0	0	0	n/a
dyn-bootstrap-contract	risk-integration	1	0	0	0	n/a
dyn-routing-envelope	correctness	1	1	1	0	1.000000
dyn-redaction-boundary	security	1	1	1	0	1.000000
dyn-prompt-orchestration	architecture	1	3	2	0	0.666667
dyn-harness-wiring	risk-integration	1	5	4	0	0.800000
