archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	3	0	2	0.000000
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
dyn-prompt-drift	correctness	1	2	0	0	0.000000
dyn-prompt-drift-codex	correctness	1	0	0	0	n/a
dyn-pyright-tests	code-quality	1	2	0	2	0.000000
dyn-pyright-tests-codex	code-quality	1	0	0	0	n/a
