archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	3	2	0	0.666667
correctness	correctness	1	8	0	8	0.000000
testing	risk-integration	1	0	0	0	n/a
security	security	1	6	0	6	0.000000
edge-cases	correctness	1	2	1	0	0.500000
plan-fidelity	architecture	1	5	4	0	0.800000
dyn-timing-env	risk-integration	1	1	1	0	1.000000
dyn-token-reports	correctness	1	0	0	0	n/a
dyn-cli-contract	risk-integration	1	2	2	0	1.000000
dyn-bash-compat	code-quality	1	3	3	0	1.000000
