archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	6	3	2	0.500000
correctness	correctness	1	4	4	0	1.000000
edge-cases	correctness	1	4	3	1	0.750000
edge-cases	correctness	1	2	2	0	1.000000
testing	risk-integration	1	5	1	2	0.200000
testing	risk-integration	1	3	3	0	1.000000
dyn-collector-contract	correctness	1	2	2	0	1.000000
dyn-collector-contract-codex	correctness	1	0	0	0	n/a
dyn-caller-cutover	risk-integration	1	3	1	1	0.333333
dyn-caller-cutover-codex	risk-integration	1	0	0	0	n/a
dyn-retirement-hygiene	architecture	1	5	2	2	0.400000
dyn-retirement-hygiene-codex	architecture	1	0	0	0	n/a
