cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-token-registry-sweep	Cursor-dyn-token-registry-sweep
dyn-codex-plan-token-registry-sweep	Codex-dyn-token-registry-sweep
dyn-cursor-plan-resume-dispatch-semantics	Cursor-dyn-resume-dispatch-semantics
dyn-codex-plan-resume-dispatch-semantics	Codex-dyn-resume-dispatch-semantics
