archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	2	0	2	0.000000
correctness	correctness	1	3	2	0	0.666667
edge-cases	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	3	2	1	0.666667
testing	risk-integration	1	2	1	0	0.500000
testing	risk-integration	1	1	1	0	1.000000
dyn-dyn-exec-detail-parser	correctness	1	2	1	1	0.500000
dyn-dyn-exec-detail-parser-codex	correctness	1	0	0	0	n/a
dyn-dyn-summary-splice	risk-integration	1	4	2	2	0.500000
dyn-dyn-summary-splice-codex	risk-integration	1	0	0	0	n/a
dyn-dyn-assessment-safety	security	1	2	0	0	0.000000
dyn-dyn-assessment-safety-codex	security	1	0	0	0	n/a
