cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-semantics-guard	Cursor-dyn-Semantics Guard
dyn-codex-plan-semantics-guard	Codex-dyn-Semantics Guard
dyn-cursor-plan-scope-guard	Cursor-dyn-Scope Guard
dyn-codex-plan-scope-guard	Codex-dyn-Scope Guard
