archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	0	0	0	n/a
correctness	correctness	1	0	0	0	n/a
testing	risk-integration	1	2	1	0	0.500000
security	security	1	0	0	0	n/a
edge-cases	correctness	1	3	1	0	0.333333
plan-fidelity	architecture	1	1	1	0	1.000000
dyn-bash-contracts	correctness	1	1	1	0	1.000000
dyn-state-machine	risk-integration	1	2	2	0	1.000000
dyn-kv-warnings	correctness	1	2	1	0	0.500000
dyn-grep-scope	code-quality	1	6	1	0	0.166667
