cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-ingestion-ownership	Cursor-dyn-ingestion-ownership
dyn-codex-plan-ingestion-ownership	Codex-dyn-ingestion-ownership
dyn-cursor-plan-contract-doc-sync	Cursor-dyn-contract-doc-sync
dyn-codex-plan-contract-doc-sync	Codex-dyn-contract-doc-sync
