archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	5	1	0	0.200000
correctness	correctness	1	5	1	0	0.200000
testing	risk-integration	1	5	1	0	0.200000
security	security	1	6	0	6	0.000000
edge-cases	correctness	1	4	2	1	0.500000
plan-fidelity	architecture	1	0	0	0	n/a
dyn-workflow-resume	correctness	1	2	1	0	0.500000
dyn-bash-harness	correctness	1	6	0	0	0.000000
dyn-contract-sync	architecture	1	3	3	0	1.000000
dyn-shell-failfast	risk-integration	1	3	3	0	1.000000
