cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
codex-plan-generic	Codex-Generic
dyn-cursor-plan-skill-frontmatter-lint-reviewer	Cursor-dyn-Skill Frontmatter Lint Reviewer
dyn-codex-plan-skill-frontmatter-lint-reviewer	Codex-dyn-Skill Frontmatter Lint Reviewer
