cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-label-contract	Cursor-dyn-label-contract
dyn-codex-plan-label-contract	Codex-dyn-label-contract
dyn-cursor-plan-freshness-floor	Cursor-dyn-freshness-floor
dyn-codex-plan-freshness-floor	Codex-dyn-freshness-floor
