cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-edge	Cursor-Edge
codex-plan-edge	Codex-Edge
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-parity-map	Cursor-dyn-parity-map
dyn-codex-plan-parity-map	Codex-dyn-parity-map
dyn-cursor-plan-deletion-gate	Cursor-dyn-deletion-gate
dyn-codex-plan-deletion-gate	Codex-dyn-deletion-gate
