archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	3	3	0	1.000000
correctness	correctness	1	3	2	1	0.666667
edge-cases	correctness	1	3	1	2	0.333333
edge-cases	correctness	1	3	3	0	1.000000
testing	risk-integration	1	4	4	0	1.000000
testing	risk-integration	1	1	1	0	1.000000
dyn-dispatch-parity	correctness	1	3	3	0	1.000000
dyn-dispatch-parity-codex	correctness	1	0	0	0	n/a
dyn-launcher-grants	security	1	2	2	0	1.000000
dyn-launcher-grants-codex	security	1	0	0	0	n/a
dyn-reference-sweep	risk-integration	1	3	3	0	1.000000
dyn-reference-sweep-codex	risk-integration	1	0	0	0	n/a
