archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	5	1	0	0.200000
correctness	correctness	1	4	3	0	0.750000
testing	risk-integration	1	6	5	0	0.833333
security	security	1	1	1	0	1.000000
edge-cases	correctness	1	4	2	0	0.500000
plan-fidelity	architecture	1	4	4	0	1.000000
dyn-auth-flow	correctness	1	3	3	0	1.000000
dyn-secret-surfaces	security	1	3	3	0	1.000000
dyn-temp-lifecycle	risk-integration	1	1	1	0	1.000000
dyn-probe-cache	correctness	1	1	1	0	1.000000
dyn-launcher-parity	architecture	1	4	3	0	0.750000
dyn-bash-compat	code-quality	1	0	0	0	n/a
