cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-contract-witness	Cursor-dyn-contract-witness
dyn-codex-plan-contract-witness	Codex-dyn-contract-witness
dyn-cursor-plan-call-site-sweep	Cursor-dyn-call-site-sweep
dyn-codex-plan-call-site-sweep	Codex-dyn-call-site-sweep
