archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	1	1	0	1.000000
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	1	0	1	0.000000
testing	risk-integration	1	1	0	1	0.000000
testing	risk-integration	1	0	0	0	n/a
dyn-dyn-severity-alignment	correctness	1	0	0	0	n/a
dyn-dyn-severity-alignment-codex	correctness	1	0	0	0	n/a
dyn-dyn-calibration-reporting	risk-integration	1	3	0	3	0.000000
dyn-dyn-calibration-reporting-codex	risk-integration	1	0	0	0	n/a
