archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	7	5	0	0.714286
correctness	correctness	1	4	3	0	0.750000
testing	risk-integration	1	4	2	0	0.500000
security	security	1	4	3	0	0.750000
edge-cases	correctness	1	5	5	0	1.000000
plan-fidelity	architecture	1	5	5	0	1.000000
dyn-bash-state	correctness	1	2	2	0	1.000000
dyn-release-step7	risk-integration	1	4	4	0	1.000000
dyn-sparse-install	architecture	1	3	3	0	1.000000
dyn-hook-failopen	security	1	1	0	0	0.000000
dyn-harness-realism	code-quality	1	6	4	0	0.666667
