archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	8	5	2	0.625000
correctness	correctness	1	6	5	0	0.833333
edge-cases	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	7	6	0	0.857143
testing	risk-integration	1	6	3	1	0.500000
testing	risk-integration	1	5	4	0	0.800000
dyn-design-reporting	risk-integration	1	6	4	1	0.666667
dyn-design-reporting-codex	risk-integration	1	0	0	0	n/a
dyn-tierb-safety	security	1	4	3	0	0.750000
dyn-tierb-safety-codex	security	1	0	0	0	n/a
dyn-kv-cleanliness	correctness	1	0	0	0	n/a
dyn-kv-cleanliness-codex	correctness	1	0	0	0	n/a
