archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
security	security	1	0	0	0	n/a
security	security	1	3	3	0	1.000000
correctness	correctness	1	0	0	0	n/a
correctness	correctness	1	3	3	0	1.000000
edge-cases	correctness	1	6	4	0	0.666667
edge-cases	correctness	1	5	3	0	0.600000
testing	risk-integration	1	5	5	0	1.000000
testing	risk-integration	1	4	4	0	1.000000
dyn-design-flow	architecture	1	4	3	0	0.750000
dyn-design-flow-codex	architecture	1	0	0	0	n/a
dyn-agent-dispatch	risk-integration	1	4	3	0	0.750000
dyn-agent-dispatch-codex	risk-integration	1	0	0	0	n/a
dyn-state-persistence	risk-integration	1	3	3	0	1.000000
dyn-state-persistence-codex	risk-integration	1	0	0	0	n/a
dyn-bash-portability	code-quality	1	3	1	0	0.333333
dyn-bash-portability-codex	code-quality	1	0	0	0	n/a
dyn-ci-runtime	risk-integration	1	0	0	0	n/a
dyn-ci-runtime-codex	risk-integration	1	0	0	0	n/a
dyn-docs-contract	architecture	1	7	7	0	1.000000
dyn-docs-contract-codex	architecture	1	0	0	0	n/a
