cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-edge	Cursor-Edge
codex-plan-edge	Codex-Edge
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-emitter-routing-fidelity	Cursor-dyn-emitter-routing-fidelity
dyn-codex-plan-emitter-routing-fidelity	Codex-dyn-emitter-routing-fidelity
dyn-cursor-plan-call-site-cutover-gaps	Cursor-dyn-call-site-cutover-gaps
dyn-codex-plan-call-site-cutover-gaps	Codex-dyn-call-site-cutover-gaps
dyn-cursor-plan-finalize-boundary	Cursor-dyn-finalize-boundary
dyn-codex-plan-finalize-boundary	Codex-dyn-finalize-boundary
