archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
security	security	1	3	0	3	0.000000
security	security	1	0	0	0	n/a
correctness	correctness	1	1	1	0	1.000000
correctness	correctness	1	3	0	2	0.000000
edge-cases	correctness	1	2	0	1	0.000000
edge-cases	correctness	1	2	1	0	0.500000
testing	risk-integration	1	2	1	0	0.500000
testing	risk-integration	1	1	0	0	0.000000
dyn-risk-integration	risk-integration	1	3	0	2	0.000000
dyn-risk-integration-codex	risk-integration	1	0	0	0	n/a
dyn-schema-compat	architecture	1	3	1	1	0.333333
dyn-schema-compat-codex	architecture	1	0	0	0	n/a
