archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	7	2	0	0.285714
correctness	correctness	1	4	4	0	1.000000
testing	risk-integration	1	1	1	0	1.000000
security	security	1	4	4	0	1.000000
edge-cases	correctness	1	2	2	0	1.000000
plan-fidelity	architecture	1	1	1	0	1.000000
dyn-resume-state	correctness	1	2	1	0	0.500000
dyn-github-pr	risk-integration	1	3	2	0	0.666667
dyn-ci-caps	correctness	1	0	0	0	n/a
dyn-postmerge-flow	correctness	1	1	1	0	1.000000
dyn-state-io	security	1	3	2	0	0.666667
