archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	2	0	2	0.000000
correctness	correctness	1	2	1	1	0.500000
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	1	1	0	1.000000
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	1	0	1	0.000000
dyn-step5b-parity	correctness	1	0	0	0	n/a
dyn-step5b-parity-codex	correctness	1	0	0	0	n/a
dyn-wrapper-routing	risk-integration	1	1	0	1	0.000000
dyn-wrapper-routing-codex	risk-integration	1	0	0	0	n/a
