archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	1	0	0	0.000000
correctness	correctness	1	3	0	0	0.000000
edge-cases	correctness	1	1	0	0	0.000000
edge-cases	correctness	1	3	0	0	0.000000
testing	risk-integration	1	1	0	0	0.000000
testing	risk-integration	1	1	0	0	0.000000
dyn-autofix-boundary	correctness	1	1	0	0	0.000000
dyn-autofix-boundary-codex	correctness	1	0	0	0	n/a
dyn-step5c-doc-drift	risk-integration	1	1	0	0	0.000000
dyn-step5c-doc-drift-codex	risk-integration	1	0	0	0	n/a
