archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	3	2	0	0.666667
correctness	correctness	1	2	1	0	0.500000
testing	risk-integration	1	6	6	0	1.000000
security	security	1	7	0	7	0.000000
edge-cases	correctness	1	1	1	0	1.000000
plan-fidelity	architecture	1	12	1	10	0.083333
dyn-bash32-portability	code-quality	1	0	0	0	n/a
dyn-gh-api-integration	risk-integration	1	0	0	0	n/a
dyn-kv-stream-contracts	correctness	1	0	0	0	n/a
dyn-prompt-runtime-sync	architecture	1	5	4	0	0.800000
