archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	3	1	2	0.333333
correctness	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	1	1	0	1.000000
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	1	0	0	0.000000
dyn-ledger-routing	correctness	1	0	0	0	n/a
dyn-ledger-routing-codex	correctness	1	0	0	0	n/a
dyn-warning-surface	risk-integration	1	2	1	1	0.500000
dyn-warning-surface-codex	risk-integration	1	0	0	0	n/a
