archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	8	2	0	0.250000
correctness	correctness	1	7	3	0	0.428571
testing	risk-integration	1	7	7	0	1.000000
security	security	1	1	1	0	1.000000
edge-cases	correctness	1	7	7	0	1.000000
plan-fidelity	architecture	1	1	1	0	1.000000
dyn-ci-pipeline	risk-integration	1	5	5	0	1.000000
dyn-python-foundation	architecture	1	0	0	0	n/a
dyn-process-retry	correctness	1	4	4	0	1.000000
dyn-redaction-parity	security	1	1	1	0	1.000000
dyn-strangler-boundary	risk-integration	1	3	3	0	1.000000
