cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-bash-contract-parity	Cursor-dyn-bash-contract-parity
dyn-codex-plan-bash-contract-parity	Codex-dyn-bash-contract-parity
dyn-cursor-plan-harness-intercept-gap	Cursor-dyn-harness-intercept-gap
dyn-codex-plan-harness-intercept-gap	Codex-dyn-harness-intercept-gap
dyn-cursor-plan-stale-ref-completeness	Cursor-dyn-stale-ref-completeness
dyn-codex-plan-stale-ref-completeness	Codex-dyn-stale-ref-completeness
