cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-stdout-contract	Cursor-dyn-Stdout Contract
dyn-codex-plan-stdout-contract	Codex-dyn-Stdout Contract
dyn-cursor-plan-scope-audit	Cursor-dyn-Scope Audit
dyn-codex-plan-scope-audit	Codex-dyn-Scope Audit
