archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	5	2	2	0.400000
correctness	correctness	1	2	2	0	1.000000
edge-cases	correctness	1	3	2	1	0.666667
edge-cases	correctness	1	1	1	0	1.000000
testing	risk-integration	1	3	2	0	0.666667
testing	risk-integration	1	2	1	0	0.500000
dyn-hook-streams	correctness	1	2	0	1	0.000000
dyn-hook-streams-codex	correctness	1	0	0	0	n/a
dyn-residual-scope	risk-integration	1	5	4	1	0.800000
dyn-residual-scope-codex	risk-integration	1	0	0	0	n/a
dyn-retirement-cleanup	architecture	1	4	2	1	0.500000
dyn-retirement-cleanup-codex	architecture	1	0	0	0	n/a
