cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-exec-dispatch-semantics	Cursor-dyn-exec-dispatch-semantics
dyn-codex-plan-exec-dispatch-semantics	Codex-dyn-exec-dispatch-semantics
dyn-cursor-plan-fence-count-anchor	Cursor-dyn-fence-count-anchor
dyn-codex-plan-fence-count-anchor	Codex-dyn-fence-count-anchor
