archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	0	0	0	n/a
correctness	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	1	0	1	0.000000
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	1	1	0	1.000000
dyn-scope-drift	risk-integration	2	5	1	2	0.200000
dyn-scope-drift-codex	risk-integration	2	0	0	0	n/a
dyn-launcher-atomics	correctness	1	1	0	0	0.000000
dyn-launcher-atomics-codex	correctness	1	0	0	0	n/a
