cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-sentinel-decontam-fidelity	Cursor-dyn-sentinel-decontam-fidelity
dyn-codex-plan-sentinel-decontam-fidelity	Codex-dyn-sentinel-decontam-fidelity
dyn-cursor-plan-dispatch-priority-map	Cursor-dyn-dispatch-priority-map
dyn-codex-plan-dispatch-priority-map	Codex-dyn-dispatch-priority-map
