archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	0	0	0	n/a
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	1	0	1	0.000000
dyn-dyn-review-topology	correctness	1	0	0	0	n/a
dyn-dyn-review-topology-codex	correctness	1	0	0	0	n/a
dyn-dyn-static-coverage	risk-integration	1	3	1	1	0.333333
dyn-dyn-static-coverage-codex	risk-integration	1	0	0	0	n/a
