archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	1	0	1	0.000000
correctness	correctness	1	1	0	1	0.000000
edge-cases	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
dyn-step5-launcher	correctness	1	2	1	1	0.500000
dyn-step5-launcher-codex	correctness	1	0	0	0	n/a
dyn-prompt-fences	architecture	1	2	0	2	0.000000
dyn-prompt-fences-codex	architecture	1	0	0	0	n/a
