archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
security	security	1	0	0	0	n/a
security	security	1	3	3	0	1.000000
correctness	correctness	1	0	0	0	n/a
correctness	correctness	1	3	3	0	1.000000
edge-cases	correctness	1	2	2	0	1.000000
edge-cases	correctness	1	3	3	0	1.000000
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	4	3	0	0.750000
dyn-rebase-delegation	architecture	1	0	0	0	n/a
dyn-rebase-delegation-codex	architecture	1	0	0	0	n/a
dyn-cli-surface-regression	risk-integration	1	4	3	1	0.750000
dyn-cli-surface-regression-codex	risk-integration	1	0	0	0	n/a
