cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-stale-base-correctness	Cursor-dyn-stale-base-correctness
dyn-codex-plan-stale-base-correctness	Codex-dyn-stale-base-correctness
dyn-cursor-plan-publish-risk-integration	Cursor-dyn-publish-risk-integration
dyn-codex-plan-publish-risk-integration	Codex-dyn-publish-risk-integration
