archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	4	0	2	0.000000
correctness	correctness	1	1	0	1	0.000000
edge-cases	correctness	1	2	0	1	0.000000
edge-cases	correctness	1	1	0	0	0.000000
testing	risk-integration	1	1	0	1	0.000000
testing	risk-integration	1	0	0	0	n/a
dyn-prompt-tally-contract	correctness	1	3	0	2	0.000000
dyn-prompt-tally-contract-codex	correctness	1	0	0	0	n/a
dyn-run-log-semantics	risk-integration	1	3	0	3	0.000000
dyn-run-log-semantics-codex	risk-integration	1	0	0	0	n/a
