archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
security	security	1	1	1	0	1.000000
security	security	1	2	1	0	0.500000
correctness	correctness	1	1	1	0	1.000000
correctness	correctness	1	4	1	0	0.250000
edge-cases	correctness	1	4	4	0	1.000000
edge-cases	correctness	1	2	2	0	1.000000
testing	risk-integration	1	5	3	0	0.600000
testing	risk-integration	1	1	1	0	1.000000
dyn-cli-envelope	risk-integration	1	2	2	0	1.000000
dyn-cli-envelope-codex	risk-integration	1	0	0	0	n/a
dyn-cost-pipeline	correctness	1	2	2	0	1.000000
dyn-cost-pipeline-codex	correctness	1	0	0	0	n/a
dyn-schema-compat	architecture	1	4	4	0	1.000000
dyn-schema-compat-codex	architecture	1	0	0	0	n/a
