archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	0	0	0	n/a
correctness	correctness	1	3	2	0	0.666667
testing	risk-integration	1	5	2	0	0.400000
security	security	1	3	0	0	0.000000
edge-cases	correctness	1	4	3	0	0.750000
plan-fidelity	architecture	1	4	3	0	0.750000
dyn-bash-portability	code-quality	1	4	2	0	0.500000
dyn-oos-pipeline	risk-integration	1	1	1	0	1.000000
dyn-oos-contract	correctness	1	0	0	0	n/a
dyn-parity	architecture	1	3	0	0	0.000000
dyn-harness-wiring	risk-integration	1	4	2	0	0.500000
