archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	3	3	0	1.000000
correctness	correctness	1	1	1	0	1.000000
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	1	0	1	0.000000
testing	risk-integration	1	0	0	0	n/a
generic	code-quality	1	0	0	0	n/a
dyn-dyn-era-boundary	correctness	1	1	0	1	0.000000
dyn-dyn-era-boundary-codex	correctness	1	0	0	0	n/a
dyn-dyn-era-bucketing	risk-integration	1	3	1	2	0.333333
dyn-dyn-era-bucketing-codex	risk-integration	1	0	0	0	n/a
dyn-dyn-era-harness	correctness	1	3	2	1	0.666667
dyn-dyn-era-harness-codex	correctness	1	0	0	0	n/a
