cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-kv-contract-drift	Cursor-dyn-kv-contract-drift
dyn-codex-plan-kv-contract-drift	Codex-dyn-kv-contract-drift
dyn-cursor-plan-text-surgery-precision	Cursor-dyn-text-surgery-precision
dyn-codex-plan-text-surgery-precision	Codex-dyn-text-surgery-precision
