archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
structure	code-quality	1	3	0	0	0.000000
correctness	correctness	1	1	0	0	0.000000
testing	risk-integration	1	3	0	0	0.000000
security	security	1	1	0	1	0.000000
edge-cases	correctness	1	2	1	0	0.500000
plan-fidelity	architecture	1	9	0	9	0.000000
dyn-bash32	code-quality	1	0	0	0	n/a
dyn-env-extract	security	1	0	0	0	n/a
dyn-harness-oracle	correctness	1	0	0	0	n/a
dyn-pause-resume	risk-integration	1	0	0	0	n/a
dyn-warn-contract	risk-integration	1	0	0	0	n/a
