archetype_name	focus_area	weight	findings_total	findings_accepted	findings_rejected	yield_ratio
correctness	correctness	1	2	1	0	0.500000
correctness	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
edge-cases	correctness	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
testing	risk-integration	1	0	0	0	n/a
generic	code-quality	1	1	1	0	1.000000
dyn-dyn-oos-routing	risk-integration	1	2	1	0	0.500000
dyn-dyn-oos-routing-codex	risk-integration	1	0	0	0	n/a
dyn-dyn-terminal-manifest	correctness	1	1	0	1	0.000000
dyn-dyn-terminal-manifest-codex	correctness	1	0	0	0	n/a
