cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-envelope-parity	Cursor-dyn-envelope-parity
dyn-codex-plan-envelope-parity	Codex-dyn-envelope-parity
dyn-cursor-plan-cutover-inventory	Cursor-dyn-cutover-inventory
dyn-codex-plan-cutover-inventory	Codex-dyn-cutover-inventory
