cursor-plan-arch	Cursor-Arch
codex-plan-arch	Codex-Arch
cursor-plan-innovation	Cursor-Innovation
codex-plan-innovation	Codex-Innovation
cursor-plan-pragmatic	Cursor-Pragmatic
codex-plan-pragmatic	Codex-Pragmatic
cursor-plan-requirements	Cursor-Requirements
codex-plan-requirements	Codex-Requirements
dyn-cursor-plan-bash-contract-parity	Cursor-dyn-bash-contract-parity
dyn-codex-plan-bash-contract-parity	Codex-dyn-bash-contract-parity
dyn-cursor-plan-consumer-scope-audit	Cursor-dyn-consumer-scope-audit
dyn-codex-plan-consumer-scope-audit	Codex-dyn-consumer-scope-audit
